Action,Time,ISIN,Ticker,Name,Notes,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Currency conversion fee,Currency (Currency conversion fee)
Market sell,2025-01-24 17:26:33.316,US42824C1099,HPE,"Hewlett Packard Enterprise",,EOF27055800166,0.0716060000,24.47,USD,1.25157058,-0.01,"GBP",1.40,"GBP",,
Market sell,2025-01-24 17:26:33.548,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",,EOF27055800172,0.0132340000,223.19,USD,1.25156629,-0.04,"GBP",2.36,"GBP",,
Market sell,2025-01-24 17:26:33.97,US24703L2025,DELL,"Dell Technologies",,EOF27055800176,0.0118248000,114.31,USD,1.25156748,-0.04,"GBP",1.08,"GBP",,
Market sell,2025-01-24 17:26:34.589,US46982L1089,J,"Jacobs Solutions",,EOF27055800181,0.0088640000,141.20,USD,1.25159680,-0.02,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:34.911,US48203R1041,JNPR,"Juniper Networks",,EOF27055800187,0.0320180000,39.09,USD,1.25158362,0.00,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:35.618,US00766T1007,ACM,"AECOM",,EOF27055800191,0.0114657000,109.16,USD,1.25159581,-0.02,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:36.173,US21037T1097,CEG,"Constellation Energy",,EOF27055800195,0.0036169000,346.04,USD,1.25159207,0.01,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:37.242,US1717793095,CIEN,"Ciena",,EOF27055800201,0.0127290000,98.32,USD,1.25151528,0.00,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:45.452,US3434121022,FLR,"Fluor",,EOF27055800211,0.0228560000,54.76,USD,1.25159456,-0.01,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:26:49.267,US2538681030,DLR,"Digital Realty Trust",,EOF27055800222,0.0120830000,183.34,USD,1.25158035,-0.03,"GBP",1.77,"GBP",,
Market sell,2025-01-24 17:26:51.379,US29444U7000,EQIX,"Equinix",,EOF27055800229,0.0024332000,946.57,USD,1.25173593,-0.03,"GBP",1.84,"GBP",,
Market sell,2025-01-24 17:27:18.17,US46284V1017,IRM,"Iron Mountain",,EOF27055800266,0.0111878000,111.88,USD,1.25169106,-0.01,"GBP",1.00,"GBP",,
Market sell,2025-01-24 17:27:40.187,US9291601097,VMC,"Vulcan Materials",,EOF27055800315,0.0045113000,277.41,USD,1.25147973,-0.01,"GBP",1.00,"GBP",,
Market buy,2025-01-24 17:27:40.51,US5738741041,MRVL,"Marvell Technology",,EOF27055800326,0.1108312000,126.44,USD,1.25008893,,"GBP",11.23,"GBP",0.02,"GBP"
Market buy,2025-01-24 17:27:41.041,US5951121038,MU,"Micron Technology",,EOF27055800329,0.0306728000,103.74,USD,1.24784167,,"GBP",2.55,"GBP",,
Market buy,2025-01-24 17:27:41.184,US68389X1054,ORCL,"Oracle",,EOF27055800332,0.0844200000,184.77,USD,1.24986245,,"GBP",12.50,"GBP",0.02,"GBP"
Market buy,2025-01-24 17:27:42.263,US11135F1012,AVGO,"Broadcom",,EOF27055800345,0.0346021000,246.32,USD,1.24973449,,"GBP",6.83,"GBP",0.01,"GBP"
